ID,Fato Histórico,Verdadeiro?,Curiosidade
26,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
27,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
28,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
29,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
30,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
31,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
32,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
33,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
34,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
35,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
36,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
37,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
38,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
39,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
40,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
41,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
42,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
43,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
44,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
45,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
46,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
47,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
48,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
49,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
50,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
51,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
52,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
53,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
54,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
55,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
56,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
57,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
58,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
59,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
60,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
61,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
62,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
63,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
64,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
65,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
66,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
67,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
68,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
69,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
70,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
71,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
72,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
73,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
74,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
75,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
76,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
77,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
78,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
79,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
80,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
81,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
82,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
83,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
84,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
85,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
86,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
87,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
88,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
89,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
90,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
91,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
92,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
93,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
94,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
95,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
96,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
97,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
98,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
99,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
100,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
101,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
102,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
103,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
104,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
105,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
106,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
107,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
108,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
109,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
110,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
111,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
112,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
113,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
114,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
115,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
116,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
117,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
118,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
119,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
120,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
121,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
122,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
123,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
124,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
125,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
126,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
127,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
128,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
129,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
130,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
131,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
132,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
133,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
134,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
135,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
136,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
137,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
138,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
139,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
140,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
141,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
142,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
143,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
144,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
145,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
146,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
147,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
148,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
149,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
150,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
151,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
152,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
153,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
154,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
155,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
156,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
157,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
158,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
159,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
160,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
161,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
162,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
163,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
164,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
165,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
166,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
167,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
168,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
169,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
170,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
171,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
172,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
173,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
174,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
175,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
176,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
177,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
178,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
179,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
180,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
181,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
182,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
183,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
184,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
185,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
186,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
187,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
188,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
189,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
190,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
191,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
192,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
193,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
194,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
195,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
196,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
197,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
198,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
199,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
200,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
201,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
202,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
203,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
204,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
205,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
206,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
207,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
208,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
209,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
210,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
211,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
212,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
213,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
214,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
215,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
216,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
217,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
218,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
219,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
220,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
221,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
222,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
223,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
224,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
225,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
226,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
227,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
228,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
229,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
230,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
231,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
232,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
233,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
234,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
235,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
236,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
237,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
238,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
239,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
240,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
241,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
242,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
243,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
244,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
245,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
246,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
247,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
248,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
249,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
250,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
251,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
252,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
253,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
254,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
255,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
256,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
257,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
258,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
259,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
260,Einstein era ruim em matemática.,Falso,Ele dominava cálculo avançado na adolescência.
261,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
262,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
263,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
264,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
265,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
266,As pirâmides do Egito foram construídas há mais de 4 mil anos.,Verdadeiro,Eram túmulos monumentais para faraós.
267,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
268,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
269,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
270,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
271,A bússola foi inventada na China.,Verdadeiro,Inicialmente era usada para adivinhação.
272,Os vikings usavam capacetes com chifres.,Falso,Não há evidências históricas disso.
273,Napoleão Bonaparte era extremamente baixo.,Falso,Ele tinha altura comum para a época.
274,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
275,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
276,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
277,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
278,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
279,A Muralha da China é visível do espaço a olho nu.,Falso,Astronautas confirmaram que não é visível sem instrumentos.
280,A escrita cuneiforme é uma das mais antigas do mundo.,Verdadeiro,Era utilizada por povos da Mesopotâmia.
281,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
282,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
283,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
284,A primeira pessoa a pisar na Lua foi Neil Armstrong.,Verdadeiro,A frase famosa teve parte perdida na transmissão.
285,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
286,O Titanic afundou em sua viagem inaugural.,Verdadeiro,O navio era considerado inafundável.
287,A Guerra dos Cem Anos envolveu França e Inglaterra.,Verdadeiro,"Apesar do nome, durou 116 anos."
288,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
289,O fogo de artifício se originou na China.,Verdadeiro,Foi descoberto acidentalmente ao misturar ingredientes químicos.
290,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
291,As pirâmides foram construídas por alienígenas.,Falso,Não existe base científica para essa teoria.
292,A Terra é plana.,Falso,A esfericidade é comprovada há milênios.
293,A peste negra matou milhões na Europa no século XIV.,Verdadeiro,Ela alterou profundamente a economia europeia.
294,O ser humano usa apenas 10% do cérebro.,Falso,Imagem cerebral moderna desmente isso.
295,A Idade Média foi completamente sem avanços científicos.,Falso,"Houve progresso em óptica, matemática e engenharia."
